Team,Market,Value
New York Knicks,7.453,5
Brooklyn Nets,7.453,2.65
Los Angeles Lakers,5.735,4.6
Los Angeles Clippers,5.735,2.75
Chicago Bulls,3.472,3.3
Dallas Mavericks,2.963,2.45
Houston Rockets,2.570,2.5
Toronto Raptors,2.6,2.15
Washington Wizards,2.566,1.8
Miami Heat,1.693,2
Philadelphia 76ers,2.997,2.075
Atlanta Hawks,2.649,1.52
Boston Celtics,2.490,3.2
Phoenix Suns,2.158,1.7
Golden State Warriors,2.653,4.7
Detroit Pistons,1.863,1.45
Minnesota Timberwolves,1.887,1.4
Denver Nuggets,1.798,1.65
Charlotte Hornets,1.291,1.5
San Antonio Spurs,1.031,1.85
Portland Trail Blazers,1.315,1.9
Sacramento Kings,1.459,1.825
Orlando Magic,1.731,1.46
Cleveland Cavaliers,1.512,1.56
Indiana Pacers,1.183,1.55
Milwaukee Bucks,.922,1.625
Oklahoma City Thunder,.755,1.575
Memphis Grizzlies,.620,1.3
New Orleans Pelicans,.664,1.35
Utah Jazz,1.1,1.66
